gruppo	nomeGruppo	senatore	nome	cognome	carica	inizioAdesione	legislatura
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/25416	Manuela	Repetti	Membro	2016-06-20	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29110	Pietro	Grasso	Membro	2017-10-27	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29168	Maurizio	Romani	Membro	2014-03-07	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29191	Luciano	Uras	Tesoriere	2013-04-10	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29044	Alessandra	Bencini	Membro	2014-03-07	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29139	Francesco	Molinari	Membro	2015-01-29	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/28543	Mario	Monti	Membro	2015-02-26	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/22918	Peppe	De Cristofaro	Membro	2015-09-17	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29051	Fabrizio	Bocchino	Membro	2014-02-27	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/22790	Claudio	Micheloni	Membro	2017-12-21	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29181	Ivana	Simeoni	Membro	2015-01-08	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/422	Roberto	Calderoli	Membro	2017-10-30	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29160	Alessia	Petraglia	Membro	2013-03-19	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/22922	Benedetto	Della Vedova	Membro	2015-02-26	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29193	Giuseppe	Vacciano	Membro	2015-01-08	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/17578	Loredana	De Petris	Presidente	2013-03-19	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29186	Dario	Stefano	Membro	2013-03-19	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/29048	Laura	Bignami	Membro	2014-03-07	17
http://dati.senato.it/gruppo/9	Misto	http://dati.senato.it/senatore/17857	Sandro	Bondi	Membro	2016-06-20	17
