gruppo	nomeGruppo	senatore	nome	cognome	inizio	fine	carica	legislatura
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/22863	Lucio	Barani	2013-03-19	2013-03-19	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/4639	Giuseppe	Esposito	2013-03-19	2013-04-09	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/2064	Paolo	Romani	2013-03-19	2013-04-09	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25270	Simona	Vicari	2013-03-19	2013-04-09	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/17803	Antonio	Verro	2013-03-19	2013-05-28	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25208	Mario	Mantovani	2013-03-19	2013-06-03	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29033	Piero	Aiello	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/22707	Andrea	Augello	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/3923	Antonio	Azzollini	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29063	Antonio Stefano	Caridi	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/19020	Massimo	Cassano	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29199	Federica	Chiavaroli	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/645	Francesco	Colucci	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29206	Franco	Conte	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/752	Antonio	D'Ali'	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29079	Mario	Dalla Tor	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29081	Nico	D'Ascola	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/1027	Roberto	Formigoni	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/17561	Antonio	Gentile	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/1148	Carlo	Giovanardi	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29208	Marcello	Gualdani	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29125	Bruno	Mancuso	2013-03-19	2013-11-14	Membro	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/17698	Giuseppe Francesco Maria	Marinello	2013-03-19	2013-11-14	Membro	17
