idSpeaker	affilialtion_to	role	from	to
17685	GOV.LETTA.1	ministro per la pubblica amministrazione e la semplificazione	2013-04-28	2014-02-21
17877	GOV.LETTA.1	vice ministro dell'economia e delle finanze	2013-05-03	2014-02-21
17877	GOV.RENZI.1	vice ministro dell'economia e delle finanze	2014-02-28	2016-12-11
17877	GOV.GENTILONI.1	sottosegretario di Stato per l'economia e le finanze	2016-12-29	2017-01-16
17877	GOV.GENTILONI.1	vice ministro dell'economia e delle finanze	2017-01-16	2018-05-31
21636	GOV.RENZI.1	sottosegretario di Stato per lo sviluppo economico	2014-02-28	2016-12-11
21636	GOV.GENTILONI.1	sottosegretario di Stato per lo sviluppo economico	2016-12-29	2018-05-31
4521	GOV.LETTA.1	vice ministro degli affari esteri	2013-05-03	2014-02-21
4521	GOV.RENZI.1	vice ministro degli affari esteri	2014-02-28	2014-08-28
4521	GOV.RENZI.1	vice ministro degli affari esteri e della cooperazione internazionale	2014-08-29	2015-06-18
22713	GOV.RENZI.1	sottosegretario di Stato per il lavoro e le politiche sociali	2014-02-28	2016-12-11
22713	GOV.GENTILONI.1	sottosegretario di Stato per il lavoro e le politiche sociali	2016-12-29	2018-05-31
30113	GOV.LETTA.1	sottosegretario di Stato per l'ambiente e la tutela del territorio e del mare	2013-05-03	2014-02-21
25196	GOV.RENZI.1	sottosegretario di Stato per il lavoro e le politiche sociali	2014-02-28	2016-12-11
25196	GOV.GENTILONI.1	sottosegretario di Stato per il lavoro e le politiche sociali	2016-12-29	2018-05-31
25372	GOV.LETTA.1	sottosegretario di Stato per la giustizia	2013-05-03	2014-02-21
4990	GOV.RENZI.1	sottosegretario di Stato per la giustizia	2016-01-29	2016-12-11
4990	GOV.GENTILONI.1	sottosegretario di Stato per la giustizia	2016-12-29	2018-05-31
29360	GOV.CONTE.2	ministro per i rapporti con il Parlamento	2020-09-03	2021-02-12
33831	GOV.CONTE.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2018-06-13	2019-09-04
17673	GOV.LETTA.1	sottosegretario di Stato per la difesa	2013-05-03	2014-02-21
17673	GOV.RENZI.1	sottosegretario di Stato per la difesa	2014-02-28	2016-12-11
17673	GOV.GENTILONI.1	sottosegretario di Stato per la difesa	2016-12-29	2018-05-31
29383	GOV.CONTE.1	vice presidente del Consiglio dei ministri , ministro dello sviluppo economico , ministro del lavoro e delle politiche sociali	2018-06-01	2019-09-04
29383	GOV.CONTE.2	ministro degli affari esteri e della cooperazione internazionale	2019-09-05	2021-02-12
29614	GOV.CONTE.1	sottosegretario di Stato per l'economia e le finanze	2018-06-13	2019-09-04
29614	GOV.CONTE.2	sottosegretario di Stato per l'economia e le finanze	2019-09-13	2021-02-12
32938	GOV.CONTE.1	sottosegretario di Stato per l'ambiente e la tutela del territorio e del mare	2018-06-13	2019-09-04
822	GOV.RENZI.1	sottosegretario di Stato per le infrastrutture e i trasporti	2014-02-28	2016-12-11
822	GOV.GENTILONI.1	sottosegretario di Stato per le infrastrutture e i trasporti	2016-12-29	2018-05-31
29403	GOV.CONTE.1	ministro per i rapporti con il Parlamento e la democrazia diretta	2018-06-01	2019-09-04
29403	GOV.CONTE.2	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2019-09-05	2021-02-12
18644	GOV.LETTA.1	ministro dei beni e delle attività culturali	2013-04-28	2014-02-21
29376	GOV.LETTA.1	sottosegretario di Stato per il lavoro e le politiche sociali	2013-05-03	2014-02-21
30278	GOV.CONTE.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2018-06-13	2019-09-04
33834	GOV.CONTE.1	sottosegretario di Stato per le politiche agricole alimentari e forestali	2018-06-13	2019-09-04
29287	GOV.CONTE.1	ministro della giustizia	2018-06-01	2019-09-04
29287	GOV.CONTE.2	ministro della giustizia	2019-09-05	2021-02-12
25520	GOV.GENTILONI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2017-05-25	2018-05-31
25520	GOV.CONTE.2	ministro delle infrastrutture e dei trasporti	2019-09-05	2021-02-12
29294	GOV.LETTA.1	sottosegretario di Stato per i beni e le attività culturali	2013-05-03	2014-02-21
29294	GOV.RENZI.1	sottosegretario di Stato per i beni e le attività culturali e per il turismo	2014-02-28	2016-12-11
29294	GOV.GENTILONI.1	sottosegretario di Stato per i beni e le attività culturali e per il turismo	2016-12-29	2018-05-31
25474	GOV.LETTA.1	ministro della salute	2013-04-28	2014-02-21
25474	GOV.RENZI.1	ministro della salute	2014-02-22	2016-12-11
25474	GOV.GENTILONI.1	ministro della salute	2016-12-12	2018-05-31
23029	GOV.LETTA.1	ministro dell'ambiente e della tutela del territorio e del mare	2013-04-28	2014-02-21
23029	GOV.RENZI.1	ministro della giustizia	2014-02-22	2016-12-11
23029	GOV.GENTILONI.1	ministro della giustizia	2016-12-12	2018-05-31
33838	GOV.CONTE.1	sottosegretario di Stato per la salute	2018-06-13	2019-09-04
34717	GOV.CONTE.2	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2019-09-13	2021-02-12
28555	GOV.LETTA.1	ministro per gli affari europei	2013-04-28	2014-02-21
5800	GOV.LETTA.1	presidente del Consiglio dei ministri	2013-04-28	2014-02-21
22872	GOV.LETTA.1	sottosegretario di Stato per l'interno	2013-05-03	2014-02-21
22872	GOV.RENZI.1	sottosegretario di Stato per l'interno	2014-02-28	2016-12-11
22872	GOV.GENTILONI.1	sottosegretario di Stato per l'interno	2016-12-29	2018-05-31
25450	GOV.CONTE.2	sottosegretario di Stato per l'ambiente e la tutela del territorio e del mare	2019-09-13	2021-02-12
5920	GOV.CONTE.1	sottosegretario di Stato per lo sviluppo economico	2018-06-13	2018-10-01
5920	GOV.CONTE.1	vice ministro dello sviluppo economico	2018-10-01	2019-09-04
29618	GOV.RENZI.1	sottosegretario di Stato per l'economia e le finanze	2014-02-28	2016-05-23
29618	GOV.RENZI.1	vice ministro dell'economia e delle finanze	2016-05-23	2016-12-11
12712	GOV.CONTE.2	ministro dell'interno	2019-09-05	2021-02-12
33751	GOV.CONTE.1	ministro dell'economia e delle finanze	2018-06-01	2019-09-04
33752	GOV.CONTE.1	ministro dell'ambiente e della tutela del territorio e del mare	2018-06-01	2019-09-04
33752	GOV.CONTE.2	ministro dell'ambiente e della tutela del territorio e del mare	2019-09-05	2021-02-12
33837	GOV.CONTE.1	sottosegretario di Stato per l'istruzione, l'università e la ricerca	2018-06-13	2019-09-04
5799	GOV.LETTA.1	ministro dei rapporti con il Parlamento e il coordinamento delle attività di Governo	2013-04-28	2014-02-21
5799	GOV.RENZI.1	ministro dei beni e delle attività culturali e del turismo	2014-02-22	2016-12-11
5799	GOV.GENTILONI.1	ministro dei beni e delle attività culturali e del turismo	2016-12-12	2018-05-31
5799	GOV.CONTE.2	ministro per i beni e le attività culturali e per il turismo	2019-09-05	2021-02-12
29585	GOV.CONTE.2	ministro della salute	2019-09-05	2021-02-12
17988	GOV.RENZI.1	ministro degli affari esteri e della cooperazione internazionale	2014-11-01	2016-12-11
17988	GOV.GENTILONI.1	presidente del Consiglio dei ministri	2016-12-12	2018-05-31
29396	GOV.LETTA.1	vice ministro dell'economia e delle finanze	2013-05-03	2014-01-10
17671	GOV.LETTA.1	ministro dell'interno , vice presidente del Consiglio dei ministri	2013-04-28	2014-02-21
17671	GOV.RENZI.1	ministro dell'interno	2014-02-22	2016-12-11
17671	GOV.GENTILONI.1	ministro degli affari esteri e della cooperazione internazionale	2016-12-12	2018-05-31
29326	GOV.LETTA.1	sottosegretario di Stato per le politiche agricole alimentari e forestali	2013-05-03	2014-02-21
29326	GOV.RENZI.1	sottosegretario di Stato per le politiche agricole alimentari e forestali	2014-02-28	2016-12-11
29326	GOV.GENTILONI.1	sottosegretario di Stato per le politiche agricole alimentari e forestali	2016-12-29	2018-05-31
30112	GOV.LETTA.1	sottosegretario di Stato per le politiche agricole alimentari e forestali	2013-05-03	2014-02-21
30112	GOV.RENZI.1	ministro delle politiche agricole alimentari e forestali	2014-02-22	2016-12-11
30112	GOV.GENTILONI.1	ministro delle politiche agricole alimentari e forestali	2016-12-12	2018-03-14
29603	GOV.CONTE.1	sottosegretario di Stato per lo sviluppo economico	2018-06-13	2019-09-04
25453	GOV.CONTE.1	sottosegretario di Stato per l'interno	2018-06-13	2019-09-04
61	GOV.LETTA.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2013-05-03	2014-02-21
61	GOV.RENZI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2014-02-28	2016-12-11
61	GOV.GENTILONI.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2016-12-29	2018-05-31
23879	GOV.LETTA.1	vice ministro degli affari esteri	2013-05-03	2014-02-21
5606	GOV.LETTA.1	sottosegretario di Stato per i beni e le attività culturali e per il turismo	2013-05-03	2014-02-21
24528	GOV.CONTE.1	sottosegretario di Stato alla Presidenza del Consiglio dei ministri	2018-06-13	2019-09-04
24528	GOV.CONTE.2	ministro per le politiche giovanili e lo sport	2019-09-05	2021-02-12
