gruppo	nomeGruppo	senatore	nome	cognome	carica	inizioAdesione	legislatura
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25208	Mario	Mantovani	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/27874	Domenico	De Siano	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29163	Giovanni	Piccoli	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/22707	Andrea	Augello	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25416	Manuela	Repetti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25398	Domenico	Scilipoti Isgro'	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/1148	Carlo	Giovanardi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25464	Riccardo	Mazzoni	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25386	Salvatore	Torrisi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29125	Bruno	Mancuso	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/17739	Nitto Francesco	Palma	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29118	Pietro	Liuzzi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/22899	Remigio	Ceroni	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/4347	Paolo	Bonaiuti	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/3939	Renato	Schifani	Presidente	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29208	Marcello	Gualdani	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/227	Silvio	Berlusconi	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25261	Luigi	D'Ambrosio Lettieri	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/25214	Giacomo	Caliendo	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29120	Eva	Longo	Membro	2013-03-19	17
http://dati.senato.it/gruppo/56	Il Popolo della Libertà	http://dati.senato.it/senatore/29188	Lucio	Tarquinio	Membro	2013-03-19	17
