gruppo	nomeGruppo	senatore	nome	cognome	carica	carica_en	inizio	fine	legislatura	provenance
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25511	Stefano	Esposito	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29092	Camilla	Fabbri	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29094	Emma	Fattorini	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29095	Nicoletta	Favero	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/26041	Valeria	Fedeli	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29096	Elena	Ferrara	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22740	Marco	Filippi	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29097	Rosanna	Filippin	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/991	Anna	Finocchiaro	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29098	Elena	Fissore	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29105	Francesco	Giacobbe	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29107	Nadia	Ginetti	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29111	Paolo	Guerrieri Paleotti	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29112	Josefa	Idem	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29113	Bachisio Silvio	Lai	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/5126	Nicola	Latorre	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29119	Sergio	Lo Giudice	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29122	Carlo	Lucherini	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/1376	Giuseppe	Lumia	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/1426	Luigi	Manconi	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/1458	Andrea	Marcucci	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/21507	Mauro Maria	Marino	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25466	Donella	Mattesini	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/12379	Marco	Minniti	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29138	Franco	Mirabelli	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29141	Mario	Morgoni	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29144	Claudio	Moscardelli	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29145	Massimo	Mucchetti	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29150	Pamela Giacoma Giovanna	Orru'	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29151	Venera	Padua	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29153	Giorgio	Pagliari	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29157	Annamaria	Parente	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22770	Leana	Pignedoli	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25424	Luciano	Pizzetti	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29165	Francesca	Puglisi	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29166	Laura	Puppato	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25235	Raffaele	Ranucci	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29170	Gianluca	Rossi	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17769	Roberto	Ruta	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29173	Angelica	Saggese	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25224	Gian Carlo	Sangalli	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29175	Giorgio	Santini	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29176	Francesco	Scalia	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29180	Annalisa	Silvestro	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29182	Pasquale	Sollo	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29184	Maria	Spilabotte	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/2313	Ugo	Sposetti	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17796	Walter	Tocci	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/23080	Salvatore	Tomaselli	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/2430	Mario	Tronti	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29192	Stefano	Vaccari	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29194	Vito	Vattuone	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/28924	Francesco	Verducci	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/20658	Luigi	Zanda	Presidente	President	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29195	Magda Angela	Zanoni	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17663	Sergio	Zavoli	Membro	Member	2013-03-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29162	Stefania	Pezzopane	Membro	Member	2013-03-22	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17750	Roberta	Pinotti	Segretario	Secretary	2013-04-09	2013-06-18	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22767	Carlo	Pegorer	Tesoriere	Treasurer	2013-04-09	2014-06-23	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/25225	Rita	Ghedini	Segretario d'Aula	Chamber secretary	2013-04-09	2014-10-16	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29172	Francesco	Russo	Segretario	Secretary	2013-04-09	2015-10-21	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29078	Erica	D'Adda	Segretario	Secretary	2013-04-09	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29116	Stefano	Lepri	Vicepresidente	Vice president	2013-04-09	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29124	Patrizia	Manassero	Segretario	Secretary	2013-04-09	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29131	Claudio	Martini	Vicepresidente Vicario	Deputy vice president	2013-04-09	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29134	Giuseppina	Maturani	Vicepresidente	Vice president	2013-04-09	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22917	Emilia Grazia	De Biasi	Membro	Member	2013-04-29	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22794	Renato Guerino	Turano	Membro	Member	2013-04-29	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17651	Giorgio	Tonini	Vicepresidente	Vice president	2013-06-19	2015-11-02	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17750	Roberta	Pinotti	Membro	Member	2013-06-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29200	Daniela	Valentini	Segretario	Secretary	2013-06-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29080	Gianpiero	Dalla Zuanna	Membro	Member	2014-06-19	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/22767	Carlo	Pegorer	Membro	Member	2014-06-24	2017-02-27	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/29085	Mauro	Del Barba	Tesoriere	Treasurer	2014-06-24	2018-03-22	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/30914	Laura	Fasiolo	Membro	Member	2014-07-02	2018-03-22	17	variazioni_gruppi_17
#http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/17651	Giorgio	Tonini	Segretario d'Aula	Chamber secretary	2014-10-16	2015-10-21	17	variazioni_gruppi_17
http://dati.senato.it/gruppo/49	Partito Democratico	http://dati.senato.it/senatore/31042	Mara	Valdinosi	Membro	Member	2014-10-16	2018-03-22	17	variazioni_gruppi_17
